,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
20,"ENAPY iPad 10.2"" 9th Gen, (2021) Genuine Leather Case - With/Without Pencil Holder
.
Also Compatible with 8th &amp; 7th Gen Cases
.
Free Shipping!
.
https://t.co/Lz4iLvrdQV
.
#iPadcase #iPadcover #Apple #Accessory #FreeShipping #Boca #Florida #buyonline #supportsmallbusiness #gifts https://t.co/PdLFsYvDTd",enapy ipad 10 2 9th gen 2021 genuine leather case with without pencil holder also compatible with 8th amp 7th gen cases free shipping ipadcase ipadcover apple accessory freeshipping boca florida buyonline supportsmallbusiness gifts ,0.4,0.65,positive,0.0,0.907,0.093,0.5106,232,34
21,"Apple expands commitment to protect users from mercenary spyware 
https://t.co/7WCK2Lj2QI
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom

July 6, 2022
 UPDATE
 Apple expands industry-leading commitment to protect users from highly t...",apple expands commitment to protect users from mercenary spyware seo google apple ios cybersecurity robotics iot ai software telecom july 6 2022 update apple expands industry leading commitment to protect users from highly ,0.16,0.5399999999999999,positive,0.0,0.663,0.337,0.8807,223,33
22,"Security has never been more important than it is today. The latest update of devices not only emphasizes customization and performance but security.

What security feature is most important in a device 📲?

#Thursdaythoughts #Apple #Google #Samsung #SoftwareUpdate #Security #iOS",security has never been more important than it is today the latest update of devices not only emphasizes customization and performance but security what security feature is most important in device thursdaythoughts apple google samsung softwareupdate security ios,0.3833333333333333,0.8166666666666668,positive,0.078,0.686,0.236,0.8117,263,38
23,"This is iPhone 14 Pro in Midnight finish

Concept render by @ld_vova
Instagram - https://t.co/ozaMeXFYfZ
RT &amp; Like please!

#Apple #iPhone14 #iPhone14Pro #iPhone14ProMax #appleevent https://t.co/BqUx39nZXo",this is iphone 14 pro in midnight finish concept render by vova instagram rt amp like please apple iphone14 iphone14pro iphone14promax appleevent ,0.0,0.0,positive,0.0,0.806,0.194,0.5859,146,22
24,"Microsoft Says: Microsoft Edge is Now Used by 600 Million Users Worldwide

#microsoft #xbox #ps #halo #gaming #xboxone #playstation #windows #gamer #sony #videogames #technology #apple #games #pc #xboxseriesx #nintendo #tech #google #office #game #twitch
https://t.co/Z7NhCYm9BZ",microsoft says microsoft edge is now used by 600 million users worldwide microsoft xbox ps halo gaming xboxone playstation windows gamer sony videogames technology apple games pc xboxseriesx nintendo tech google office game twitch ,-0.4,0.4,neutral,0.0,1.0,0.0,0.0,231,34
25,"Half of People With Omicron Don't Know They're Infected, Study Says https://t.co/qowt5djKfL One of the Phone companies needs to develop a way to find Covid... Billion Dollar idea... you're welcome #Samsung #Apple",half of people with omicron don know they re infected study says one of the phone companies needs to develop way to find covid billion dollar idea you re welcome samsung apple,0.3166666666666667,0.5333333333333333,negative,0.088,0.829,0.083,-0.0516,175,32
26,"#NewRelease from USA Today #bestselling #author Amelia Wilde
Blackmail 
#Kindle https://t.co/QU9tBW0izE
#Nook https://t.co/tuLk0pJB2f  
#Kobo https://t.co/CVCf2eTJBZ
#Apple #iBooks https://t.co/IWhIDUYEjn
He could call the police, but he has more interesting plans for her.... https://t.co/q1LrL24NZb", newrelease from usa today bestselling author amelia wilde blackmail kindle nook kobo apple ibooks he could call the police but he has more interesting plans for her ,0.5,0.5,positive,0.0,0.867,0.133,0.611,166,27
27,buying a mac studio is the single best purchase I have ever made. invest in your productivity #apple,buying mac studio is the single best purchase have ever made invest in your productivity apple,0.4642857142857143,0.2571428571428571,positive,0.0,0.781,0.219,0.6369,94,16
28,"Apple Watch Fitness Tracking Is Good Enough for Olympic Athletes – CNET

https://t.co/EeuEwLkJsp

#Techbase #TechbaseNigeria #TechbaseNG #techfeedng @techbase_ng  #apple #applewacth https://t.co/smjtzwgKjG",apple watch fitness tracking is good enough for olympic athletes cnet techbase techbasenigeria techbaseng techfeedng ng apple applewacth ,0.35,0.55,positive,0.0,0.762,0.238,0.6124,137,18
29,The latest Technology Blogs! https://t.co/DOe7yOxPB7 Thanks to @ADRFTECH @5GAmericas #tech #apple,the latest technology blogs thanks to tech apple,0.35,0.55,positive,0.0,0.707,0.293,0.4404,48,8
30,"Manage data transformations with dbt in Amazon Redshift 
https://t.co/7abUrOwrkx
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom

       Amazon Redshift is a fully managed, petabyte-scale data warehouse service in the cloud. You can start ...",manage data transformations with dbt in amazon redshift seo google apple ios cybersecurity robotics iot ai software telecom amazon redshift is fully managed petabyte scale data warehouse service in the cloud you can start ,0.0,0.0,positive,0.0,0.904,0.096,0.34,222,34
31,Hazard #apple https://t.co/LbgGCCVi56,hazard apple ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,13,2
32,"Apple Event 2022 for Apple iPhone 14 series

#Apple #AppleEvent #iPhone14 #iPhone #iPhone14Pro #Iphone14ProMax #iPhone14Series https://t.co/G0w7BrcYB6",apple event 2022 for apple iphone 14 series apple appleevent iphone14 iphone iphone14pro iphone14promax iphone14series ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,15
33,"Issey Miyake, Japanese designer, died August 5th 2022. He was and remains the King of Pleats. He became known for his origami-like high-technological clothing. https://t.co/3JHnUTHYvN
#IsseyMiyake #Japanese #Designer #Origami #Apple #SteveJobs #Levis #levis501 #RunwayMagazine https://t.co/aStP6unWGQ",issey miyake japanese designer died august 5th 2022 he was and remains the king of pleats he became known for his origami like high technological clothing isseymiyake japanese designer origami apple stevejobs levis levis501 runwaymagazine ,0.05333333333333334,0.17999999999999997,negative,0.092,0.844,0.064,-0.2732,239,35
34,"@Apple #iPhone14 event might be at September's 7.
#AppleEvent #apple #iPhone14Pro #Iphone14ProMax #AppleWatch https://t.co/TyXUaq7Utc", iphone14 event might be at september 7 appleevent apple iphone14pro iphone14promax applewatch ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,95,12
35,"In May, @Apple announced they were discontinuing the #iPod touch.

Here, Zahra Salahuddin, a freelance writer based in Berlin and originally from Pakistan, remembers her first, shiny blue iPod.

#rememberingipod #aurorareels #applemusic #ipod #apple #itunes https://t.co/E0VzMLfxy2",in may announced they were discontinuing the ipod touch here zahra salahuddin freelance writer based in berlin and originally from pakistan remembers her first shiny blue ipod rememberingipod aurorareels applemusic ipod apple itunes ,0.20833333333333334,0.39444444444444443,positive,0.0,0.936,0.064,0.296,233,33
36,"Penetration Testing or Vulnerability Scanning? What's the Difference? 
https://t.co/EWec6Sr96M
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom

Pentesting and vulnerability scanning are often confused for the same service. The problem is, b...",penetration testing or vulnerability scanning what the difference seo google apple ios cybersecurity robotics iot ai software telecom pentesting and vulnerability scanning are often confused for the same service the problem is ,-0.2,0.4125,negative,0.239,0.761,0.0,-0.7783,227,32
37,C$56.24 - #FreeShipping | Super sale means super savings!  Snakehive Vintage Wallet for Apple iPhone 11 #Snakehive       ?? https://t.co/sURJmMiG1d       #sharious  #canadianbestseller  #canada #usa #product #Apple  #AppleiPhone11  #Case  #Genuine  #iPhone . https://t.co/LTXYSQbLV6,c 56 24 freeshipping super sale means super savings snakehive vintage wallet for apple iphone 11 snakehive sharious canadianbestseller canada usa product apple appleiphone11 case genuine iphone ,0.35555555555555557,0.611111111111111,positive,0.0,0.755,0.245,0.8316,194,27
38,#Apple plans to unveil iPhone 14 at Sept. 7 event: report - MarketWatch, apple plans to unveil iphone 14 at sept 7 event report marketwatch,0.0,0.0,neutral,0.0,1.0,0.0,0.0,67,12
39,"India the latest country that may require Apple to shift to USB-C for the iPhone
https://t.co/5b5DhDCzIE

#Techbase #TechbaseNigeria #TechbaseNG #techfeedng @techbase_ng  #indian #apple #usbc https://t.co/4bzfL2PFEU",india the latest country that may require apple to shift to usb for the iphone techbase techbasenigeria techbaseng techfeedng ng indian apple usbc ,0.5,0.9,neutral,0.0,1.0,0.0,0.0,147,23
40,@zollotech Wait until you get this!  #iOS16Beta6 #Apple https://t.co/PZuwNDjHCp, wait until you get this ios16beta6 apple ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,42,7
41,"VPNs for iOS Are Broken and Apple Knows It, Says Security Researcher: Third-party VPNs made for iPhones and iPads routinely fail to route all network traffic through a secure tunnel after they have been turned on, something Apple has… https://t.co/SNYLj0gmnm #Apple #Mac #Rumors https://t.co/kUrh5nCCik",vpns for ios are broken and apple knows it says security researcher third party vpns made for iphones and ipads routinely fail to route all network traffic through secure tunnel after they have been turned on something apple has apple mac rumors ,-0.125,0.32499999999999996,neutral,0.129,0.724,0.147,-0.0258,246,42
42,"Supply of plant and animal waste into soil, is a proven way of increasing the organic content in soil. Enriched soil provides higher quality and quantity of yield, apart from several ecological solutions to current problems.
@cpsavesoil
#SaveSoil
#Apple
#food https://t.co/TFXVaitSPq",supply of plant and animal waste into soil is proven way of increasing the organic content in soil enriched soil provides higher quality and quantity of yield apart from several ecological solutions to current problems savesoil apple food ,0.09,0.3,negative,0.13,0.829,0.04,-0.5859,239,38
43,"DJI Granted World’s First C1 Drone Certificate – sUAS News – The Business of Drones 
https://t.co/IQSP2vZegX
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom

C1 Certification Gives Users Of The Mavic 3 Series More Freedom For Flying
Augu...",dji granted world first c1 drone certificate suas news the business of drones seo google apple ios cybersecurity robotics iot ai software telecom c1 certification gives users of the mavic 3 series more freedom for flying augu ,0.375,0.41666666666666663,positive,0.0,0.84,0.16,0.7574,226,37
44,The only one significant reason to buy #AppleWatch is moow2earn 🙌#Apple #Move2Earn #MoveToEarn https://t.co/vmxSLbKbCj,the only one significant reason to buy applewatch is moow2earn apple move2earn movetoearn ,0.1875,0.9375,positive,0.0,0.87,0.13,0.2023,90,13
45,"The #iphone 14 pro max BETTER be a significant upgrade 👀

I want that 48mp beauty 📷

#Apple #photography https://t.co/qa1u16z2aM",the iphone 14 pro max better be significant upgrade want that 48mp beauty apple photography ,0.4375,0.6875,positive,0.0,0.529,0.471,0.8316,92,15
46,"ios - how can i support all the screen size of iphone using swiftui 
https://t.co/HF2qIFfbJk
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom

how can i support all the screen size of iphone  using swiftuiMy application supp...",ios how can support all the screen size of iphone using swiftui seo google apple ios cybersecurity robotics iot ai software telecom how can support all the screen size of iphone using swiftuimy application supp ,0.0,0.0,positive,0.0,0.859,0.141,0.6597,211,35
47,This was very c*nty of her also the #Apple update cute asf #SuperFreakyGirl #RomanRemix https://t.co/RPug7ZK5g9,this was very nty of her also the apple update cute asf superfreakygirl romanremix ,0.35,0.65,positive,0.0,0.812,0.188,0.4588,83,14
48,"Finding a perfectly sized Apple Watch band may get easier in the future
https://t.co/EaH2NdVhDp

#Techbase #TechbaseNigeria #TechbaseNG #techfeedng @techbase_ng  #apple #applewatch https://t.co/cjNDKFIn18",finding perfectly sized apple watch band may get easier in the future techbase techbasenigeria techbaseng techfeedng ng apple applewatch ,0.5,0.5625,positive,0.0,0.708,0.292,0.7906,137,19
49,"#うひーメモ
投稿時間:2022-08-18 21:17:03
Pixelmator Photo switches to subscription for new users
https://t.co/66kA2Ga8sD
#Apple", 2022 08 18 21 17 03 pixelmator photo switches to subscription for new users apple,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,82,15
50,"How Energy Harvesting Will Make Smart Cities Even More Efficient 
https://t.co/pdGWjZdaf0
#SEO #Google #Apple  #IOS #cybersecurity #Robotics #IOT #AI #software #telecom
 
Illustration: © IoT For AllSmart cities are the future of urban development. But as more cities adopt ...",how energy harvesting will make smart cities even more efficient seo google apple ios cybersecurity robotics iot ai software telecom illustration iot for allsmart cities are the future of urban development but as more cities adopt ,0.24285714285714288,0.35357142857142854,positive,0.0,0.802,0.198,0.7108,231,36
51,"Please Click the link below
#SheHulk #jaehyun #percyjackson #HBOMax #Garcelle #Finland #KCON #Erika #Manti #Naya #RomanRemix #G1FINAL #NBA #NFL #Bitcoin #USA #America #NFTs #BTS #Sainz #Scream #Vidal #BTC #Dollar #Google #Apple #bb24 #COVID #Work #Netflix https://t.co/0YQgmfp6uq",please click the link below shehulk jaehyun percyjackson hbomax garcelle finland kcon erika manti naya romanremix g1final nba nfl bitcoin usa america nfts bts sainz scream vidal btc dollar google apple bb24 covid work netflix ,0.0,0.0,negative,0.071,0.868,0.061,-0.1027,226,35
52,"iOS VPN apps are broken, says security researcher; Apple not fixed
#News #Business #WiFihotspots #Apple #WiFi #Data #VPN #Proton #MITM #MichaelHorowitz #Horowitz #AirplaneMode #DNS #ISP
https://t.co/Si2VyN8xJy",ios vpn apps are broken says security researcher apple not fixed news business wifihotspots apple wifi data vpn proton mitm michaelhorowitz horowitz airplanemode dns isp ,-0.225,0.30000000000000004,negative,0.109,0.807,0.084,-0.1779,170,25
53,"Please Click the link below
#SheHulk #jaehyun #percyjackson #HBOMax #Garcelle #Finland #KCON #Erika #Manti #Naya #RomanRemix #G1FINAL #NBA #NFL #Bitcoin #USA #America #NFTs #BTS #Sainz #Scream #Vidal #BTC #Dollar #Google #Apple #bb24 #COVID #Work #Netflix https://t.co/FS8Wt03Wy3",please click the link below shehulk jaehyun percyjackson hbomax garcelle finland kcon erika manti naya romanremix g1final nba nfl bitcoin usa america nfts bts sainz scream vidal btc dollar google apple bb24 covid work netflix ,0.0,0.0,negative,0.071,0.868,0.061,-0.1027,226,35
54,"Please Click the link below
#SheHulk #jaehyun #percyjackson #HBOMax #Garcelle #Finland #KCON #Erika #Manti #Naya #RomanRemix #G1FINAL #NBA #NFL #Bitcoin #USA #America #NFTs #BTS #Sainz #Scream #Vidal #BTC #Dollar #Google #Apple #bb24 #COVID #Work #Netflix https://t.co/0rBNOsvXcF",please click the link below shehulk jaehyun percyjackson hbomax garcelle finland kcon erika manti naya romanremix g1final nba nfl bitcoin usa america nfts bts sainz scream vidal btc dollar google apple bb24 covid work netflix ,0.0,0.0,negative,0.071,0.868,0.061,-0.1027,226,35
55,"#うひーメモ
投稿時間:2022-08-18 21:15:37
Finding a perfectly sized Apple Watch band may get easier in the future
https://t.co/6Ldw00eULj
#Apple", 2022 08 18 21 15 37 finding perfectly sized apple watch band may get easier in the future apple,0.5,0.5625,positive,0.0,0.708,0.292,0.7906,96,19
56,"Please Click the link below
#SheHulk #jaehyun #percyjackson #HBOMax #Garcelle #Finland #KCON #Erika #Manti #Naya #RomanRemix #G1FINAL #NBA #NFL #Bitcoin #USA #America #NFTs #BTS #Sainz #Scream #Vidal #BTC #Dollar #Google #Apple #bb24 #COVID #Work #Netflix https://t.co/jaD2ZbmZia",please click the link below shehulk jaehyun percyjackson hbomax garcelle finland kcon erika manti naya romanremix g1final nba nfl bitcoin usa america nfts bts sainz scream vidal btc dollar google apple bb24 covid work netflix ,0.0,0.0,negative,0.071,0.868,0.061,-0.1027,226,35
57,Download #UTG pro to get all #video_games information you want. Available on #iOS for #iPhone and #iPad #Apple #iphone11 https://t.co/2MKEMrFQY9 https://t.co/NmBd2XmiXb,download utg pro to get all video games information you want available on ios for iphone and ipad apple iphone11 ,0.4,0.4,positive,0.0,0.936,0.064,0.0772,113,20
58,"Please Click the link below
#SheHulk #jaehyun #percyjackson #HBOMax #Garcelle #Finland #KCON #Erika #Manti #Naya #RomanRemix #G1FINAL #NBA #NFL #Bitcoin #USA #America #NFTs #BTS #Sainz #Scream #Vidal #BTC #Dollar #Google #Apple #bb24 #COVID #Work #Netflix https://t.co/qPplkleu7k",please click the link below shehulk jaehyun percyjackson hbomax garcelle finland kcon erika manti naya romanremix g1final nba nfl bitcoin usa america nfts bts sainz scream vidal btc dollar google apple bb24 covid work netflix ,0.0,0.0,negative,0.071,0.868,0.061,-0.1027,226,35
59,"#Apple could start to make Apple Watches and MacBooks in Vietnam for the first time ever, as the tech giant looks to diversify production away from China. Vietnam already produces a wide range of flagship products for the company.

https://t.co/GTk7TAp2gg", apple could start to make apple watches and macbooks in vietnam for the first time ever as the tech giant looks to diversify production away from china vietnam already produces wide range of flagship products for the company ,0.049999999999999996,0.5777777777777778,positive,0.0,0.964,0.036,0.1027,226,38
60,"Apple’s iPhone 14 event is scheduled for Wednesday, September 7, according to sources.#Apple #AppleEvent #iPhone14 #iPhone https://t.co/a7EyQe5hWw",apple iphone 14 event is scheduled for wednesday september 7 according to sources apple appleevent iphone14 iphone ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,115,17
61,"Again, fuck @Apple . How do you send me an email claiming you sent me a refund and then still charge my account for that same refund . Again, FUCK #apple",again fuck how do you send me an email claiming you sent me refund and then still charge my account for that same refund again fuck apple,-0.26666666666666666,0.44166666666666665,negative,0.219,0.781,0.0,-0.7906,137,27
62,"hekka
Save 51% on 2022 KOSPET TANK M1 Rugged Outdoor Smart Watch
https://t.co/GCderh0gpE
#smartwatch #watch #applewatch #samsung #smartwatches #apple #iphone #smartwatchmurah https://t.co/zldRM0RqIV",hekka save 51 on 2022 kospet tank m1 rugged outdoor smart watch smartwatch watch applewatch samsung smartwatches apple iphone smartwatchmurah ,0.21428571428571427,0.6428571428571429,positive,0.0,0.753,0.247,0.7096,142,20
63,"Without sufficient organic content,soil could go extinct, threatening the food supply for future generations. So the next time you bite into the sweet succulence of an apple,know that the burst of flavor from nutrient-rich soil.

#SaveSoil #ConsciousPlanet #apple #food #nutrition https://t.co/22BiCLxPPU https://t.co/VDdTtfUIHw",without sufficient organic content soil could go extinct threatening the food supply for future generations so the next time you bite into the sweet succulence of an apple know that the burst of flavor from nutrient rich soil savesoil consciousplanet apple food nutrition ,0.06499999999999999,0.425,positive,0.068,0.8,0.132,0.4939,272,43
64,vistas views fc hashtags japoneses abro hilo thread cancelado spotify netflix it girl fancam exponiendo a exponer copys it boy kpop bins tutorial carrd bardo #アニメ好きと繋がりたい #アニメ好きな人RT・いいね #いいねした人全員フォローする #Apple https://t.co/yEtj8Xcogz,vistas views fc hashtags japoneses abro hilo thread cancelado spotify netflix it girl fancam exponiendo exponer copys it boy kpop bins tutorial carrd bardo rt apple ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,165,26
65,"#Apple 🍏 releases security updates for #iOS, iPadOS, and #macOS platforms to fix two new zero-day vulnerabilities that are exploited by threat actors to compromise users.

https://t.co/zYJuYjhY9p

#infosec #cybersecurity #hacking #ZeroDay", apple releases security updates for ios ipados and macos platforms to fix two new zero day vulnerabilities that are exploited by threat actors to compromise users infosec cybersecurity hacking zeroday,0.13636363636363635,0.45454545454545453,negative,0.22,0.714,0.066,-0.6808,201,30
66,"#deal 40% OFF on
#Apple MagSafe Battery Pack
https://t.co/KVDk473nsT", deal 40 off on apple magsafe battery pack ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,43,8
67,"Go for it. Make your mark on the world. It takes courage to think this way and it's important to know you have the power to change your circumstances. Think Less, feel more. 
#Motivational #motivation #MotivationalQuotes #stevejobs #Apple https://t.co/i3Mu8qDoH2",go for it make your mark on the world it takes courage to think this way and it important to know you have the power to change your circumstances think less feel more motivational motivation motivationalquotes stevejobs apple ,0.24444444444444446,0.5222222222222223,positive,0.0,0.82,0.18,0.7703,226,38
68,"Apple, the crusader for consumer privacy, shows its true colors. Apple is bringing more ads to your iPhone: https://t.co/pIkpJXpiKn via @technology #Apple",apple the crusader for consumer privacy shows its true colors apple is bringing more ads to your iphone via apple,0.425,0.575,positive,0.0,0.872,0.128,0.4215,113,20
69,"iPhone 14 launch imminent. Apple is set to hold an event for the launch of iPhone 14 Series on September 7th with new devices going on sale September 16th 2022.

#Apple #iPhone #iPhone14 #iPhone14Pro #iPhone14ProMax #iPhone14Series https://t.co/cF4kQfOLnt",iphone 14 launch imminent apple is set to hold an event for the launch of iphone 14 series on september 7th with new devices going on sale september 16th 2022 apple iphone iphone14 iphone14pro iphone14promax iphone14series ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,223,36
